candidate,office,district,party,county,votes,winner
Dick Cheney,U.S. House,1,Republican,Albany,6476,1
Bryan Sharratt,U.S House,1,Democrat,Albany,4787,
Craig Alan McCune,U.S House,1,Libertarian,Albany,150,
Al Hamburg,U.S House,1,Independent,Albany,50,
Dick Cheney,U.S House,1,Republican,Big Horn,3554,
Bryan Sharratt,U.S House,1,Democrat,Big Horn,1048,
Craig Alan McCune,U.S House,1,Libertarian,Big Horn,28,
Al Hamburg,U.S House,1,Independent,Big Horn,21,
Dick Cheney,U.S House,1,Republican,Campbell,7227,
Bryan Sharratt,U.S House,1,Democrat,Campbell,1842,
Craig Alan McCune,U.S House,1,Libertarian,Campbell,55,
Al Hamburg,U.S House,1,Independent,Campbell,37,
Dick Cheney,U.S House,1,Republican,Carbon,3631,
Bryan Sharratt,U.S House,1,Democrat,Carbon,2490,
Craig Alan McCune,U.S House,1,Libertarian,Carbon,45,
Al Hamburg,U.S House,1,Independent,Carbon,30,
Dick Cheney,U.S House,1,Republican,Converse,3044,
Bryan Sharratt,U.S House,1,Democrat,Converse,1195,
Craig Alan McCune,U.S House,1,Libertarian,Converse,25,
Al Hamburg,U.S House,1,Independent,Converse,13,
Dick Cheney,U.S House,1,Republican,Crook,2089,
Bryan Sharratt,U.S House,1,Democrat,Crook,407,
Craig Alan McCune,U.S House,1,Libertarian,Crook,24,
Al Hamburg,U.S House,1,Independent,Crook,11,
Dick Cheney,U.S House,1,Republican,Fremont,7588,
Bryan Sharratt,U.S House,1,Democrat,Fremont,4213,
Craig Alan McCune,U.S House,1,Libertarian,Fremont,165,
Al Hamburg,U.S House,1,Independent,Fremont,82,
Dick Cheney,U.S House,1,Republican,Goshen,3429,
Bryan Sharratt,U.S House,1,Democrat,Goshen,1616,
Craig Alan McCune,U.S House,1,Libertarian,Goshen,21,
Al Hamburg,U.S House,1,Independent,Goshen,80,
Dick Cheney,U.S House,1,Republican,Hot Springs,1539,
Bryan Sharratt,U.S House,1,Democrat,Hot Springs,655,
Craig Alan McCune,U.S House,1,Libertarian,Hot Springs,23,
Al Hamburg,U.S House,1,Independent,Hot Springs,11,
Dick Cheney,U.S House,1,Republican,Johnson,2211,
Bryan Sharratt,U.S House,1,Democrat,Johnson,638,
Craig Alan McCune,U.S House,1,Libertarian,Johnson,32,
Al Hamburg,U.S House,1,Independent,Johnson,8,
Dick Cheney,U.S House,1,Republican,Laramie,18139,
Bryan Sharratt,U.S House,1,Democrat,Laramie,10079,
Craig Alan McCune,U.S House,1,Libertarian,Laramie,444,
Al Hamburg,U.S House,1,Independent,Laramie,188,
Dick Cheney,U.S House,1,Republican,Lincoln,3521,
Bryan Sharratt,U.S House,1,Democrat,Lincoln,1423,
Craig Alan McCune,U.S House,1,Libertarian,Lincoln,41,
Al Hamburg,U.S House,1,Independent,Lincoln,19,
Dick Cheney,U.S House,1,Republican,Natrona,15573,
Bryan Sharratt,U.S House,1,Democrat,Natrona,8426,
Craig Alan McCune,U.S House,1,Libertarian,Natrona,188,
Al Hamburg,U.S House,1,Independent,Natrona,62,
Dick Cheney,U.S House,1,Republican,Niobrara,940,
Bryan Sharratt,U.S House,1,Democrat,Niobrara,293,
Craig Alan McCune,U.S House,1,Libertarian,Niobrara,2,
Al Hamburg,U.S House,1,Independent,Niobrara,6,
Dick Cheney,U.S House,1,Republican,Park,7742,
Bryan Sharratt,U.S House,1,Democrat,Park,2001,
Craig Alan McCune,U.S House,1,Libertarian,Park,72,
Al Hamburg,U.S House,1,Independent,Park,33,
Dick Cheney,U.S House,1,Republican,Platte,2315,
Bryan Sharratt,U.S House,1,Democrat,Platte,1597,
Craig Alan McCune,U.S House,1,Libertarian,Platte,28,
Al Hamburg,U.S House,1,Independent,Platte,19,
Dick Cheney,U.S House,1,Republican,Sheridan,7045,
Bryan Sharratt,U.S House,1,Democrat,Sheridan,3639,
Craig Alan McCune,U.S House,1,Libertarian,Sheridan,78,
Al Hamburg,U.S House,1,Independent,Sheridan,35,
Dick Cheney,U.S House,1,Republican,Sublette,1917,
Bryan Sharratt,U.S House,1,Democrat,Sublette,406,
Craig Alan McCune,U.S House,1,Libertarian,Sublette,26,
Al Hamburg,U.S House,1,Independent,Sublette,2,
Dick Cheney,U.S House,1,Republican,Sweetwater,7209,
Bryan Sharratt,U.S House,1,Democrat,Sweetwater,5173,
Craig Alan McCune,U.S House,1,Libertarian,Sweetwater,252,
Al Hamburg,U.S House,1,Independent,Sweetwater,90,
Dick Cheney,U.S House,1,Republican,Teton,4259,
Bryan Sharratt,U.S House,1,Democrat,Teton,1559,
Craig Alan McCune,U.S House,1,Libertarian,Teton,74,
Al Hamburg,U.S House,1,Independent,Teton,21,
Dick Cheney,U.S House,1,Republican,Uinta,4004,
Bryan Sharratt,U.S House,1,Democrat,Uinta,1596,
Craig Alan McCune,U.S House,1,Libertarian,Uinta,79,
Al Hamburg,U.S House,1,Independent,Uinta,25,
Dick Cheney,U.S House,1,Republican,Washakie,2721,
Bryan Sharratt,U.S House,1,Democrat,Washakie,906,
Craig Alan McCune,U.S House,1,Libertarian,Washakie,36,
Al Hamburg,U.S House,1,Independent,Washakie,13,
Dick Cheney,U.S House,1,Republican,Weston,2177,
Bryan Sharratt,U.S House,1,Democrat,Weston,538,
Craig Alan McCune,U.S House,1,Libertarian,Weston,18,
Al Hamburg,U.S House,1,Independent,Weston,12,
